QAQC,VisitNo,Boat,Crew,Location,Visit Date,Station,Weather,WindWaves,WindDirection,Tide,Secchi,SurfTemp,DO,SC,pH,Turbidity,Phycocyanin,Chlorophyll,FDOM,Microcystis,SondeNo,Wetland,DataQuality,QuestionableData,SiteComments
false,1587,Chinook,MS;SL;DC;ARF,Grizzly Bay,07/11/2017,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, NW, 4=flood,19,22.3,9.3, 4521, 8.3, 55.7, , , , 1=absent, , , , false, 
false,1588,Chinook,JM;DC;SL,z_old_Confluence,07/12/2017,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,32,22.3,8, 417, 7.9, 35.1, , , , 1=absent, , , , false, Crew: Jared Mauldin; Dave Contreras; Sunny Lee
false,1589,Chinook,JM;DC;SL,z_old_Confluence,07/12/2017,Z_OLD_801 FRP,1=0-33% clouds,2= wind 4-7 mph; small wavelets, W, 2=ebb,32,22.3,8, 417, 7.9, 35.1, , , , 1=absent, , , , false, 
false,1590,Chinook,JM;DC;SL,z_old_Confluence,07/12/2017,Z_OLD_801 FRP,1=0-33% clouds,2= wind 4-7 mph; small wavelets, W, 2=ebb,32,22.3,8, 417, 7.9, 35.1, , , , 1=absent, , , , false, 
false,1591,Chinook,JM;DC;SL,z_old_Confluence,07/12/2017,Z_OLD_801 FRP,1=0-33% clouds,2= wind 4-7 mph; small wavelets, W, 2=ebb,32,22.3,8, 417, 7.9, 35.1, , , , 1=absent, , , , false, 
false,1592,Kvichak,SS,Horseshoe Bend,06/26/2017,Z_OLD_REP 3 WETLAND,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 1=high slack,,22.58,8.22, 179, 7.73, 22.44, , , , 1=absent, , , , false, YSI 6600 Chla = 3.5; turbidity = 24.1
false,1593,Mudsucker,JM;DC;SL,z_old_Confluence,07/24/2017,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,38,21.8,6.4, 3550, 6.7, 27.4, , , , 1=absent, , , , false, Crew: Jared Mauldin; Dave Contreras; Sunny Lee; Carl Wilcox
false,1594,Mudsucker,JM;DC;SL,z_old_Confluence,07/24/2017,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,38,21.8,6.4, 3550, 6.7, 27.4, , , , 1=absent, , , , false, 
false,1595,Mudsucker,JM;DC;SL,z_old_Confluence,07/24/2017,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,38,21.8,6.4, 3550, 6.7, 27.4, , , , 1=absent, , , , false, 
false,1596,Mudsucker,JM;DC;SL,z_old_Confluence,07/24/2017,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,42,21.3,6.2, 3084, 7.1, 21.1, , , , 1=absent, , , , false, 
false,1597,Mudsucker,JM;DC;SL,Horseshoe Bend,07/24/2017,Z_OLD_DECKER BS1,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 2=ebb,,23.3,7.8, 194, 7.8, 40.5, , , , 1=absent, , , , false, 
false,1598,Mudsucker,JM;DC;SL,Horseshoe Bend,07/24/2017,Z_OLD_DECKER BS2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,36,23.6,7.4, 183, 7.7, 25.5, , , , 1=absent, , , , false, 
false,1599,Mudsucker,JM;DC;SL,Horseshoe Bend,07/24/2017,Z_OLD_DECKER BS3,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,36,23.6,7.4, 183, 7.7, 25.5, , , , 1=absent, , , , false, 
false,2026,Airboat,JM,Prospect Island,08/10/2018,Z_OLD_SOPRO1,,, , 2=ebb,,,, , , , , , , , , , , true, 200g standard mass weighed-217-219g on scale incl. waves Unknown1 had finer leaves than unkown2. They may be STUPEC and/or NAJGUA. Both unknowns were determined to be STUPEC in the office. Samples SR26A and on were massed using the scale. The scale was tested with the 200g mass and measurements were spot on at 200g. DSE 01FEB2022- unclear to me what is wrong with samples SR1A- SR6B; they dont match the datasheet. ill keep this on the database but also re-enter SR1a-SR6B.
true,2027,Mudsucker,DC;SS,Horseshoe Bend,08/06/2018,Z_OLD_DECKER BS1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,131,22,7.9, 368, 5.5, 6, , , , 2=low, , , , false, Crew: Dave Contreras; Stacy Sherman; Katherine Russell
true,2028,Mudsucker,DC;SS,Horseshoe Bend,08/06/2018,Z_OLD_DECKER BS2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,151,22.5,8.9, 509, 6.3, 4.8, , , , 2=low, , , , false, 
true,2029,Mudsucker,DC;SS,Horseshoe Bend,08/06/2018,Z_OLD_DECKER BS3,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,118,22.4,8.6, 554, 6.7, 6.1, , , , 2=low, , , , false, 
true,2030,Mudsucker,DC;SS,Miner Slough,08/06/2018,Z_OLD_MINER TULES,1=0-33% clouds,0=Calm; glassy, , 4=flood,,23,11.5, 153, 7.1, 20, , , , 2=low, , , , false, 
true,2031,Mudsucker,DC;SS,Miner Slough,08/06/2018,Z_OLD_PROBR,1=0-33% clouds,0=Calm; glassy, , 1=high slack,139,22.8,4.1, 146, 6, 3.5, , , , 1=absent, , , , false, 
true,2032,Chinook,DC,z_old_Confluence,08/08/2018,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 4=flood,42,20.5,4, 4300, 6.2, 42.8, , , , 2=low, , , , false, Crew: Dave Contreras; Dan Ellis; Christian Britton
true,2033,Chinook,DC,z_old_Confluence,08/08/2018,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 4=flood,29,21.3,7.3, 2617, 6.7, 60.8, , , , 2=low, , , , false, 
true,2034,Chinook,DC,Browns Island,08/08/2018,Z_OLD_520 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,84,21.5,6.8, 4183, 6.9, 86.7, , , , 3=medium, , , , false, 
true,2035,Chinook,DC,Browns Island,08/08/2018,Z_OLD_520 FRP,1=0-33% clouds,2= wind 4-7 mph; small wavelets, W, 4=flood,62,22.2,11.1, 3209, 7.4, 21.4, , , , 2=low, , , , false, 
true,2036,Chinook,DC,Nurse-Denverton,08/09/2018,Z_OLD_609 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, ,37,20.9,6.8, 5123, 6.5, 109.3, , , , 1=absent, , , , false, Crew: Dave Contreras; Dan Ellis; Terence Jarrell
false,2037,Chinook,DC,Nurse-Denverton,08/09/2018,Z_OLD_609 FRP,1=0-33% clouds,0=Calm; glassy, W, 4=flood,39,21.4,6.3, 6419, 7.1, 44.5, , , , 1=absent, , , , false, 
true,2038,Chinook,DC,Grizzly Bay,08/09/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, NW, 4=flood,39,20.7,8.5, 15993, 7.7, 192, , , , 1=absent, , , , false, 
true,2039,Chinook,DC,Grizzly Bay,08/09/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 4=flood,29,20.2,8.6, 16460, 7.9, 90.8, , , , 2=low, , , , false, 
true,2040,Other,DC,Chipps Island,08/21/2018,Z_OLD_CHIPPS NORTH,1=0-33% clouds,, , 2=ebb,,,, , , , , , , , , , , false, Mass on scale: 197 - 210 g
true,2041,Chinook,DC,Horseshoe Bend,08/20/2018,Z_OLD_DECKER BS1,1=0-33% clouds,2= wind 4-7 mph; small wavelets, W, 4=flood,147,21.8,8.1, 383, 6.9, 14.9, , , , 3=medium, , , , false, Crew - Dave Contreras; Daniel Ellis; Rebecca Heisey
true,2042,Chinook,DC,Horseshoe Bend,08/20/2018,Z_OLD_DECKER BS2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,128,22.1,8.2, 919, 7, 14.8, , , , 3=medium, , , , false, 
true,2043,Chinook,DC,Horseshoe Bend,08/20/2018,Z_OLD_DECKER BS3,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,128,22.1,8.2, 919, 7, 14.8, , , , 3=medium, , , , false, 
true,2044,Chinook,DC,Miner Slough,08/20/2018,Z_OLD_MINER TULES,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,170,22.4,7.6, 155, 7, 3.8, , , , 1=absent, , , , false, 
true,2045,Chinook,DC,Miner Slough,08/20/2018,Z_OLD_MINSLO3,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,,22.1,7.3, 151, 7.1, 8.5, , , , 1=absent, , , , false, 
true,2046,Chinook,DC,Miner Slough,08/20/2018,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 1=high slack,143,22.3,3.4, 153, 7, 2.6, , , , 1=absent, , , , false, 
true,2047,Chinook,DC,z_old_Confluence,08/22/2018,Z_OLD_801 FRP,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,55,20.2,7.4, 5714, 7.1, 17, , , , 2=low, , , , false, Crew - Dave Contreras; Dan Ellis; Katherine Russell
true,2048,Chinook,DC,z_old_Confluence,08/22/2018,Z_OLD_801 FRP,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 4=flood,64,20.6,8.7, 4620, 7.5, 15.5, , , , 3=medium, , , , false, 
true,2049,Chinook,DC,Browns Island,08/22/2018,Z_OLD_520 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 4=flood,109,20,7.1, 5792, 7.4, 4, , , , 2=low, , , , false, 
true,2050,Chinook,DC,Browns Island,08/22/2018,Z_OLD_520 FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, SW, 4=flood,75,21.1,9.9, 4289, 7.6, 12.1, , , , 2=low, , , , false, 
true,2051,Chinook,DC,Nurse-Denverton,08/23/2018,Z_OLD_609 FRP,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 4=flood,30,18.8,9.3, 7113, 7.7, 29.2, , , , 1=absent, , , , false, Crew - Dave Contreras; Michelle Avila; Katherine Russell
true,2052,Chinook,DC,Nurse-Denverton,08/23/2018,Z_OLD_609 FRP,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 4=flood,41,19.4,7.8, 7118, 7.8, 23.7, , , , 1=absent, , , , false, 
true,2053,Chinook,DC,Miner Slough,09/12/2018,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,,19.9,4.7, 170, 7.6, 0.2, , 1.2, , 1=absent, , , , false, Inside Prospect Island; 11:00
true,2054,Chinook,DC,Miner Slough,09/12/2018,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,200,19.9,3.7, 170, 6.8, 0.2, , 1.7, , 1=absent, , , , false, Prospect  Island Breach; 11:08
true,2055,Chinook,DC,Miner Slough,09/12/2018,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,183,20.1,7.9, 172, 6.8, 1.1, , 2.1, , 1=absent, , , , false, Prospect Channel; 11:13
true,2056,Chinook,DC,Miner Slough,09/12/2018,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,183,20.1,7.9, 172, 6.8, 1.1, , 2.1, , 1=absent, , , , false, 
true,2057,Chinook,DC,z_old_Cache Slough,09/12/2018,Z_OLD_CA3,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,151,20.1,10.1, 200, 7.7, 1.9, , 2.4, , 1=absent, , , , false, Outside Liberty; 11:58
false,2058,Chinook,DC,Liberty Island,09/12/2018,Z_OLD_SWLIBERTY,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,145,20,10.6, 204, 7.8, 1.6, , 2, , 1=absent, , , , false, Liberty Breach; 12:03
true,2059,Chinook,DC,Liberty Island,09/12/2018,Z_OLD_SWLIBERTY,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,132,19.9,10.5, 208, 7.9, 3.1, , 2.4, , 1=absent, , , , false, Liberty Inside; 12:09
false,2060,Chinook,DC,Liberty Island,09/12/2018,Z_OLD_723 FRP,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,132,19.9,10.5, 208, 7.9, 3.1, , 2.4, , 1=absent, , , , false, 
false,2061,Mudsucker,RKH,Ryer Island,09/06/2018,Z_OLD_501 FRP,3=66-100% clouds,3= wind 8-12 mph; large wavelets, SW, 4=flood,60,18.9,, 15688, 6.5, 30.8, , , , 1=absent, , , , false, Crew - Dave Contreras; Rosemary Hartman; Jessica Jimenez
false,2062,Mudsucker,DC;RKH,Ryer Island,09/06/2018,Z_OLD_501 FRP,2=33-66% clouds,2= wind 4-7 mph; small wavelets, SW, 4=flood,49,18.3,, 14648, 7, 27.6, , , , 1=absent, , , , false, 
false,2063,Mudsucker,DC,Grizzly Bay,09/07/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 4=flood,23,18.9,9, 17200, 7.8, 61.3, , , , 1=absent, , , , false, Crew - Dave Contreras; Dan Ellis; Katherine Russell
false,2064,Mudsucker,DC,Grizzly Bay,09/07/2018,Z_OLD_602FRP,1=0-33% clouds,3= wind 8-12 mph; large wavelets, W, 4=flood,24,18.4,9.1, 17560, 7.8, 72.6, , , , 1=absent, , , , false, 
false,2065,Mudsucker,DC,z_old_Confluence,09/07/2018,Z_OLD_801 FRP,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 2=ebb,77,20.4,9.9, 4368, 8.1, 11.2, , , , 2=low, , , , false, 
false,2066,Mudsucker,DC,z_old_Confluence,09/07/2018,Z_OLD_801 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,103,20.7,9, 2905, 7.9, 6.9, , , , 1=absent, , , , false, 
false,2067,Chinook,DC,Horseshoe Bend,09/11/2018,Z_OLD_DECKER BS1,1=0-33% clouds,2= wind 4-7 mph; small wavelets, W, 2=ebb,112,21,9.1, 380, 7.6, 11.9, , , , 2=low, , , , false, Crew - Dave Contreras; Katherine Russell
false,2068,Chinook,DC,Horseshoe Bend,09/11/2018,Z_OLD_DECKER BS2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,106,21.1,8.3, 419, 7.8, 12, , , , 2=low, , , , false, 
false,2069,Chinook,DC,Horseshoe Bend,09/11/2018,Z_OLD_DECKER BS3,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,106,21.2,9, 413, 7.9, 12, , , , 3=medium, , , , false, Used last stations secchi and turbidity
false,2070,Chinook,DC,Miner Slough,09/12/2018,Z_OLD_MINER TULES,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, N, 1=high slack,200,19.9,7.7, 178, 7.2, 4.9, , , , 1=absent, , , , false, Crew - Dave Contreras; Michelle Avila; Jessica Jimenez
false,2071,Chinook,DC,Miner Slough,09/12/2018,Z_OLD_MINSLO3,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,200,20.3,8.3, 174, 7.6, 3.2, , , , 1=absent, , , , false, 
false,2072,Chinook,DC,Miner Slough,09/12/2018,Z_OLD_PROBR,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,156,20,2.7, 170, 7.4, 2.8, , , , 1=absent, , , , false, 
true,2073,Chinook,RKH;DC,Browns Island,09/18/2018,Z_OLD_BROWNS1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 1=high slack,80,19.4,11.1, 5541, 7.5, 4.9, , 5.2, , 3=medium, , , , false, Started in the pond at the end of the Browns Island channel and trawled out.
true,2074,Chinook,RKH;DC,Browns Island,09/18/2018,Z_OLD_BROWNS CHANNEL,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 1=high slack,87,20.1,13.5, 4137, 7.9, 7.5, , 3, , 3=medium, , , , false, At exit of channel
true,2075,Chinook,RKH;DC,Browns Island,09/18/2018,Z_OLD_520 FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 1=high slack,87,19.6,12.7, 6300, 7.9, 7.7, , 2.5, , 3=medium, , , , false, just outside browns
true,2076,Chinook,RKH;DC,Grizzly Bay,09/19/2018,Z_OLD_602FRP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 1=high slack,38,20,9.7, 13314, 7.9, 24.6, , 6, , 1=absent, , , , false, 
true,2077,Chinook,RKH;DC,Wings Landing,09/19/2018,Z_OLD_WINGS 1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,38,20.2,9.4, 9203, 7.8, 34.5, , 11.7, , 1=absent, , , , false, Started by Wings Landing dock
true,2078,Chinook,RKH;DC,Wings Landing,09/19/2018,Z_OLD_WINGS BROOD POND,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,,20.3,9.2, 9192, 7.4, 18.4, , 13.5, , 1=absent, , , , false, Just inside water control structure in brood pond. In tules/cattails
true,2079,Chinook,RKH;DC,Wings Landing,09/19/2018,Z_OLD_WINGS 1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,39,20.9,8.4, 9205, 7.9, 19.8, , 11.1, , 1=absent, , , , false, Just outside water control structure in peytonia slough
true,2080,Mudsucker,RKH;SS;DC,Miner Slough,10/09/2018,Z_OLD_PROBR,1=0-33% clouds,0=Calm; glassy, W, 2=ebb,146,17.7,8.1, 157, 7.4, 1.5, , 2.3, , 1=absent, , , , false, Miner spur channel. Lots of SAV. Crew: Rosemary Hartman; Dave Contreras; Stacy Sherman; Carl Wilcox
true,2081,Mudsucker,RKH;DC;SS,Miner Slough,10/09/2018,Z_OLD_PROBR,1=0-33% clouds,0=Calm; glassy, , 2=ebb,,17.6,2.8, 149, 7.2, 0.1, , 1.7, , 1=absent, , , , false, Secchi > 2m. Sampled water flowing off the leaky breach.
false,2082,Mudsucker,RKH;SS;DC,Miner Slough,10/09/2018,Z_OLD_PROBR,1=0-33% clouds,0=Calm; glassy, , 2=ebb,,17.6,4.3, 149, 6.8, 0.1, , 2.2, , 1=absent, , , , false, Just inside leaky breach
false,1168,Kvichak,DC;MS;SS;ARF,Lindsey Slough,02/16/2016,Z_OLD_CC2,1=0-33% clouds,0=Calm; glassy, E, 2=ebb,73,14.7,7.7, 510, 7.5, 10.2, , , , 1=absent, , , , false, CC2 is a UC Davis North Delta Arc sampling station. Water sample #4 taken for UC Davis (Tomo Kurobe) for EDNA.
false,1169,Kvichak,DC;SS;MS;ARF,Lindsey Slough,02/16/2016,Z_OLD_CC1,1=0-33% clouds,0=Calm; glassy, E, 2=ebb,55,15,7.2, 517, 7.6, 11.8, , , , 1=absent, , , , false, CC1 is a UC Davis North Delta Arc sampling station.
false,1170,Kvichak,JM;MS;DC;BW,Liberty Island,02/09/2016,Z_OLD_PROSLOUGH,1=0-33% clouds,0=Calm; glassy, W, 3=low slack,42,11.8,9.1, 695, 7.7, 23.9, , , , 1=absent, , , , false, 
false,1171,Chinook,RKH;BW;JM,Lindsey Slough,02/16/2016,Z_OLD_LN3,1=0-33% clouds,0=Calm; glassy, , 4=flood,89,14,9.2, 364, 7.4, 9.1, , , , 1=absent, , , , false, Crew - Rosemary Hartman; Bonnie Wang; Jared Mauldin
false,1172,Chinook,RKH;BW;JM,Lindsey Slough,02/16/2016,Z_OLD_LN2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, S, 1=high slack,114,14.1,8.8, 455, 7.7, 8, , , , 1=absent, , , , false, 
false,1173,Chinook,RKH;BW;JM,Lindsey Slough,02/16/2016,Z_OLD_LN1,1=0-33% clouds,0=Calm; glassy, , 1=high slack,86,13.8,8.3, 491, 7.6, 9.4, , , , 1=absent, , , , false, 
false,1174,Chinook,RKH;BW;JM,Lindsey Slough,02/16/2016,Z_OLD_BK2,1=0-33% clouds,0=Calm; glassy, , 2=ebb,81,14.6,7.6, 511, 7.5, 10.2, , , , 1=absent, , , , false, About 5 gal of SAV collected. Bag completely twisted. 1 corbicula
false,1175,Chinook,RKH;BW;JM,Lindsey Slough,02/16/2016,Z_OLD_BK1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, S, 2=ebb,73,15.4,7.7, 529, 7.5, 11.9, , , , 1=absent, , , , false, Caught 10-20 gallons of SAV
false,1176,Chinook,JM;RKH;BW,Lindsey Slough,02/16/2016,Z_OLD_CC2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, E, 2=ebb,75,14.4,7.9, 507, 7.6, 9.7, , , , 1=absent, , , , false, Caught 20+ gallons of Egeria and may have lost a few fish while discarding vegetation off boat. 500+ amphipods (Gammards and Corophium); isopods; snails; and odonata
false,1177,Chinook,JM;BW;RKH,Lindsey Slough,02/16/2016,Z_OLD_CC1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,74,14.8,8.6, 511, 7.6, 11, , , , 1=absent, , , , false, 10-20 gallons of vegetation collected.
false,1178,Chinook,DC;ARF;MS,Liberty Island,02/20/2016,LI003E,1=0-33% clouds,3= wind 8-12 mph; large wavelets, NW, 2=ebb,46,13.2,9.9, 425, 8, 20.2, , , , 1=absent, , , , false, Crew: Matt Seipert (boat op); Dave Contreras; Alison Furler; Phillip Poirier
false,1179,Chinook,DC;MS;ARF,Liberty Island,02/20/2016,LI005W,1=0-33% clouds,3= wind 8-12 mph; large wavelets, NW, 2=ebb,14,13.9,9.5, 297, 8, 33.5, , , , 1=absent, , , , false, 
false,1180,Chinook,MS;DC;BW,Liberty Island,02/22/2016,LI001E,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,87,13.2,9.4, 260, 7.6, 9.3, , , , 1=absent, , , , false, Crew: Matt Seipert (boat op); Dave Contreras; Bonnie Wang; Andy Rockriver
false,1181,Chinook,DC,Liberty Island,02/22/2016,LI001E,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,,,, , , , , , , 1=absent, , , , false, Right Wing Waypoint - 38.24588; -121.67936; Bag Waypoint - 38.24620; -121.67993; Left Wing Waypoint - 38.24606; -121.67957;  DMC230628: removed environmentals since they were duplicated from site visit 1180
false,1182,Chinook,MS;DC;BW,Liberty Island,02/22/2016,LI003E,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 2=ebb,67,13.4,10.1, 416, 8.7, 12.5, , , , 1=absent, , , , false, Water sample #2 taken for EDNA for UC Davis (Tomo Kurobe) at 10:50.
false,1183,Chinook,MS;DC;BW,Liberty Island,02/22/2016,LI004E,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 2=ebb,49,13.5,10, 485, 8.2, 15.4, , , , 1=absent, , , , false, Water Sample #1 taken for EDNA for UC Davis (Tomo Kurobe)
false,1184,Chinook,DC,Liberty Island,02/22/2016,LI004E,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 2=ebb,,,, , , , , , , 1=absent, , , , false, Right Wing Waypoint - 38.26493; -121.6733; Left Wing Waypoint 38.26494; -121.67381;  DMC230628: removed environmentals since they were duplicated from site visit 1183
false,1185,Chinook,MS;DC;BW,Liberty Island,02/22/2016,LI005W,1=0-33% clouds,2= wind 4-7 mph; small wavelets, NW, 2=ebb,62,13.7,10.1, 322, 8, 13.6, , , , 1=absent, , , , false, Right wing waypoint - 38.24477; -121.68482; Left wing waypoint - 38.24477; -121.68485. Water Sample #3 taken for EDNA for UC Davis (Tomo Kurobe)
false,1186,Chinook,MS;DC;RKH;TM,Horseshoe Bend,02/25/2016,Z_OLD_HORSEBEND1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,84,13,8, 220, 6.2, 9.5, , , , 1=absent, , , , false, Crew: Matt Siepert (boat op); Dave Contreras; Rosemary Hartman; Trishelle Morris (guest)
false,1187,Chinook,MS;DC;RKH;TM,Horseshoe Bend,02/25/2016,Z_OLD_HORSEBEND1,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,62,13.8,9.4, 221, 7.3, 14, , , , 1=absent, , , , false, 
false,1188,Chinook,MS;DC;RKH;TM,Horseshoe Bend,02/25/2016,Z_OLD_HORSEBEND2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,66,13.3,9.4, 213, 7.6, 35.5, , , , 1=absent, , , , false, 
false,1189,Chinook,MS;DC;RKH;TM,Horseshoe Bend,02/25/2016,Z_OLD_HORSEBEND2,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, , 2=ebb,91,13.4,9.5, 217, 7.6, 14.5, , , , 1=absent, , , , false, 
false,1190,Chinook,RKH;JM;BW;ARF,Miner Slough,03/16/2016,Z_OLD_MINER TULES,1=0-33% clouds,0=Calm; glassy, , 4=flood,,11.6,9.3, 112, 5.8, 49.9, , , , 1=absent, , , , false, Lost one leafpack (hole in net); and one leafpack + anchor.
false,1191,Chinook,RKH;JM;ARF;BW,Miner Slough,03/16/2016,Z_OLD_MINER RIP RAP,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 4=flood,24,11.7,9.8, 116, 6.9, 43.2, , , , 1=absent, , , , false, There was a large hole and not tules in LP37.
false,1192,Chinook,RKH;BW;JM;ARF,Miner Slough,03/16/2016,Z_OLD_MINER SAV,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 4=flood,29,11.9,8.9, 113, 7, 33.3, , , , 1=absent, , , , false, Not much SAV. Corbicula were in the mud stuck in the anchor. The other two leafpacks might be down there somewhere; but we couldnt find the floats.
false,1193,Chinook,RKH;BW;JM;ARF,Miner Slough,03/16/2016,Z_OLD_PROBR,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 4=flood,36,12.8,5.5, 129, 6.6, 23.7, , , , 1=absent, , , , false, Lost one anchor and associated leafpack
false,1194,Chinook,RKH;JM;ARF;BW,Liberty Island,03/16/2016,Z_OLD_LIBERTY RIP RAP,1=0-33% clouds,2= wind 4-7 mph; small wavelets, N, 2=ebb,18,13.7,6.3, 353, 7.2, 63.6, , , , 1=absent, , , , false, DO might not be working right. LP10 totally gone; LP41 not much left
false,1195,Chinook,RKH;BW;JM;ARF,Liberty Island,03/16/2016,Z_OLD_LIBERTY FAV,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,81,14.9,9.4, 343, 8, , , , , 1=absent, , , , false, FAV where leafpacks were was mostly washed out; had to go 20 m north to a patch that was mostly dead; in a mat along with a lot of dead pieces of tule
false,1196,Chinook,RKH;JM;ARF;BW,Liberty Island,03/16/2016,Z_OLD_LIBERTY SAV,1=0-33% clouds,2= wind 4-7 mph; small wavelets, N, 2=ebb,74,14.4,9.5, 348, 7.8, 54.1, , , , 1=absent, , , , false, We couldnt find any SAV at the site anymore. Didnt take sweep net samples
false,1197,Chinook,,Liberty Island,03/17/2016,Z_OLD_LIBERTY TULES,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 4=flood,58,13.1,6, 357, 6.3, 15.3, , , , 1=absent, , , , false, Got nicely in the tules; ~1m from edge of plants
false,1198,Chinook,,Liberty Island,03/16/2016,Z_OLD_LIBERTY TULES,,, , 2=ebb,74,14.3,10.8, 356, 8.2, 10.8, , , , , , , , false, water was too deep for benthic cores
false,1199,Chinook,RKH;BW;MS;ARF,Lindsey Slough,03/17/2016,Z_OLD_LINDSEY TULES,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 4=flood,,14.4,, 236, 7.1, 47.2, , , , 1=absent, , , , false, DO not working right; lost one anchor and associated leafpack.
