QAQC,VisitNo,Boat,Crew,Location,Visit Date,Station,Weather,WindWaves,WindDirection,Tide,Secchi,SurfTemp,DO,SC,pH,Turbidity,Phycocyanin,Chlorophyll,FDOM,Microcystis,SondeNo,Wetland,DataQuality,QuestionableData,SiteComments
true,4084,Mudsucker,ED;DE;MMS,Tule Red,08/12/2020,Z_OLD_TULE_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, N, 2=ebb,77,21,8.2, 17446, 10, 6.8, 0.02, 1.2, 41.1, 1=absent, 1, Inside, , false, PHY1-TULE: habitat type: 1; # of jars: 1; jar type: amber jar; depth water: 5; GPS1  NUT1-TULE:  habitat type: 1; # of jars: 3; jar type: 1L; depth water: 5; GPS1  EF0820 B0241 + EF0820 B0243  CHL filter lot: T70633  Nutrient filter lot: A22781264  Blank -  EF0820B0237  Inside  Sonde 1  Veg: FILAG-10%; TULESPP-30%; UNK SEDGE-60%; open water-90%
true,4103,SeaArk,DE;MMS,Winter Island,10/08/2020,Z_OLD_WINT_UNK,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,93,19.6,8, 8211, 6.7, , 0.24, 0.45, 9, 2=low, 1, Inside, , false, Inside  Sonde 1  Veg: SAV-25%; PHRAUS-30%; TULESPP-10%; ALTPHI-10%; LUDWIG-15%; CATTAILSPP-10%; open water-40%  EAV3-WINT: gear ID: 2. # of jars: 2; jar type: 500; SHAME-80%; health: 1; SCHACU-20%; health: 1  FAV2-WINT: gear ID: 1; # of jars: gal; ALTPHI-100%; health: 1  SR1-WINT: jar type: gal; STUPEC-100%; health: 1;2; FILAG- health: 1;  mass: 994g  SAV1-WINT: STUPEC-100%; health: 1;2; FILAG- health: 1      
true,4104,SeaArk,DE;MMS,Browns Island,10/08/2020,Z_OLD_BROW_UNK,2=33-66% clouds,1=wind 1-3 mph; scaley ripples, W, 2=ebb,75,20.3,8.7, 7091, 7, , 0.24, 0.51, 7.9, 2=low, 1, Inside, , false, Inside  Sonde #1  VEG: SAV-20%; CATTAIL-10%; TULESPP-65%; PHRAUS-5%; ALTPHI; open water-80%  EAV4-BROW: gear ID 3; 1 jar; gallon bag; SCHCAL-100%; health: 1  EAV-5-BROW: gear ID 2; 1 jar; gallon bag; SCHCAL-100%; health: 1  EAV6-BROW: gear ID 1; 1 jar; gallon bag; PHRAUS-100%; health: 1
true,4105,SeaArk,DE;MMS,Browns Island,10/08/2020,Z_OLD_BROW_UNK,3=66-100% clouds,1=wind 1-3 mph; scaley ripples, W, 3=low slack,,19.2,7.8, 8757, 6.5, , 0.28, 0.7, 18.8, 2=low, 1, Inside, , false, Inside  Sonde #1  Veg: SAV-40%; ALTPHI-25%; TULESPP-15%; CATTAILSPP-10%; LUDWIG-5%; HYDRAN-5%; open water-10%  Veg comments: wow; all now alligator!  SR2-BROW: # of jars: 1; jar type: gal; EGEDEN-55%; health: 1;2;3; MYRSPI-20%; health: 1;2; FILAG-15%; health: 3; CERDEN-10%; health: 1;2; mass: 424g  SAV2-BROW: # of jars: 1; jar type: gal; EGEDEN-55%; health: 1;2;3; MYRSPI-20%; health: 1;2; FILAG-15%; health: 3; ELODEA- health: 1;2  FAV3-BROW: # of jars: 1; jar type: gal; ALTPHI-100%; health: 1  FAV4-BROW: # of jars: 1; jar type: 500; LUDWIG-100%; health: 1; GPS look on map  Field blank -> in parking lot 2 500ml and 1 250ml; 3x rinse bucket in DI  Secchi: could see to bottom (3.9 ft+)-DSE 08OCT2021
true,4106,Mudsucker,ED;DE;KMP,Tule Red,10/09/2020,Z_OLD_TULE_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,37,17.4,6.6, 18912, 6.9, 16.4, 0.25, 1.15, 41.7, 1=absent, 2, Inside, , false, NUT2 EF1020B0579: habitat type: 1; # of jars: 2; jar type: 1L  PHY1-TULE: habitat type: 1; # of jars: 1; jar type: 4oz amber  Inside  Sonde #2  Veg: TULESPP-95%; CATTAILSPP-5%; PHRAUS-0%; open water-80%  Nut filter lot: A22781264  Chl filter lot: 26915012  Blank EF1020B0573
true,4107,Mudsucker,ED;DE;KMP,Tule Red,10/09/2020,Z_OLD_TULE_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, SW, 2=ebb,42,17.7,7.2, 18679, 7.2, 16.9, 0.26, 1.04, 34.7, 1=absent, 2, Inside, , false, PHY2-TULE: 1 jar; 4 oz jar; GPS1  Inside  Sonde 2  Veg: TULESPP-50%; CATTAILSPP-25%; PHRAUS-25%; open water-80%
true,3109,Mudsucker,MA;JC;DC;SH;KP;MMS,Blacklock,10/11/2019,BLAC-CH-EXT,1=0-33% clouds,0=Calm; glassy, NE, 4=flood,,,, , , , , , , 1=absent, , , , false, large branch in net - no rips; DMC221102: changed Location from Nurse-Denverton
true,3125,Mudsucker,CB;DC;GU;SH;MMS,Browns Island,10/16/2019,Z_OLD_520 FRP,2=33-66% clouds,2= wind 4-7 mph; small wavelets, W, 3=low slack,58,17.2,9, 1086, 7.2, 12.1, 0.15, 0.4, 392, 1=absent, , , , false, Location: Confluence Station: 520FRP  Updated: Browns; 520
true,3282,Mudsucker,JC;DC;DE;SH,Chipps Island,10/14/2019,Z_OLD_CHIP_UNK,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, NW, 2=ebb,64,15.4,7.8, 4079, 7.5, 11.4, 0.16, 0.4, 776, 1=absent, 2, Inside, , false, Location Chipps  Station Inside  fDOM circled in data sheet  Tow type 1  Drag method 1  VEG%: SAVGEN 50%; SCHSPP 30%; PHRAUS 20%; Open water no veg 20%  photo 630   depth was not recorded for SAV3 and SR2
true,3129,Chinook,JC;DC;MMS,Flyway Farms,08/22/2019,Z_OLD_FLYWAY,1=0-33% clouds,1=wind 1-3 mph; scaley ripples, , 4=flood,40,24.5,7.3, 419, 8, 22.4, , 0.9, , 1=absent, , , , false, Location: Flyway Farms  No station recorded  on data sheet; wind direction box not marked correctly 
